Equipe	# J	Idade	Posse	MP	In�cios	Min.	90s	Gols	Assis.	G-PB	PB	PT	CrtsA	CrtV	Gols	Assis.	G+A	G-PB	G+A-PB
América (MG)	35	26.9	49.2	38	418	3,420	38.0	42	30	40	2	5	68	1	1.11	0.79	1.89	1.05	1.84
Atl Goianiense	28	26.3	48.8	38	418	3,420	38.0	43	28	41	2	6	90	2	1.13	0.74	1.87	1.08	1.82
Botafogo (SP)	27	26.6	49.3	38	418	3,420	38.0	37	22	33	4	5	85	5	0.97	0.58	1.55	0.87	1.45
Bragantino	32	27.4	60.0	38	418	3,420	38.0	62	39	57	5	6	79	7	1.63	1.03	2.66	1.50	2.53
Brasil de Pelotas	33	29.2	45.1	38	418	3,420	38.0	29	17	27	2	2	107	3	0.76	0.45	1.21	0.71	1.16
Coritiba	40	26.0	49.7	38	418	3,420	38.0	46	37	43	3	5	105	4	1.21	0.97	2.18	1.13	2.11
CRB	39	27.2	45.6	38	418	3,420	38.0	44	31	42	2	2	89	6	1.16	0.82	1.97	1.11	1.92
Criciúma	33	27.9	53.3	38	418	3,420	38.0	29	20	26	3	3	109	8	0.76	0.53	1.29	0.68	1.21
Cuiabá	39	28.3	48.4	38	407	3,330	37.0	39	25	34	5	9	84	3	1.05	0.68	1.73	0.92	1.59
Figueirense	44	27.4	50.9	38	407	3,330	37.0	31	22	30	1	3	86	4	0.84	0.59	1.43	0.81	1.41
Guarani	42	27.3	50.7	38	418	3,420	38.0	26	16	23	3	5	96	4	0.68	0.42	1.11	0.61	1.03
Londrina	48	25.3	47.6	38	418	3,420	38.0	35	24	32	3	7	97	9	0.92	0.63	1.55	0.84	1.47
Oeste	43	26.6	49.7	38	418	3,420	38.0	40	25	37	3	3	117	3	1.05	0.66	1.71	0.97	1.63
Operário	38	28.8	50.5	38	418	3,420	38.0	30	17	26	4	4	90	5	0.79	0.45	1.24	0.68	1.13
Paraná	36	26.4	48.6	38	418	3,420	38.0	33	22	31	2	3	97	3	0.87	0.58	1.45	0.82	1.39
Ponte Preta	46	26.0	53.1	38	418	3,420	38.0	39	27	35	4	5	103	6	1.03	0.71	1.74	0.92	1.63
São Bento	47	27.3	51.9	38	418	3,420	38.0	44	29	40	4	5	102	7	1.16	0.76	1.92	1.05	1.82
Sport Recife	31	25.7	52.9	38	418	3,420	38.0	49	35	43	6	8	70	6	1.29	0.92	2.21	1.13	2.05
Vila Nova	42	27.1	48.4	38	418	3,420	38.0	26	15	24	2	2	105	3	0.68	0.39	1.08	0.63	1.03
Vitória	47	25.6	48.1	38	418	3,420	38.0	42	23	39	3	4	90	4	1.11	0.61	1.71	1.03	1.63
