Equipe	# J	Idade	Posse	MP	Inícios	Min.	90s	Gols	Assis.	G-PB	PB	PT	CrtsA	CrtV	Gols	Assis.	G+A	G-PB	G+A-PB
vs Atl Paranaense	36	27,2	38.1	38	418	3.420	38.0	32	19	26	6	8	92	4	0,84	0,50	1,34	0,68	1,18
vs Atlético Mineiro	32	27,3	50.6	38	418	3.420	38.0	48	29	41	7	9	79	1	1,26	0,76	2,03	1,08	1,84
vs Avaí	42	27,3	53.3	38	418	3.420	38.0	61	40	54	7	7	65	4	1,61	1,05	2,66	1,42	2,47
vs Bahia	31	27,2	53.1	38	418	3.420	38.0	43	27	39	4	5	82	6	1,13	0,71	1,84	1,03	1,74
vs Botafogo (RJ)	33	27,5	50.3	38	418	3.420	38.0	43	32	40	3	4	78	5	1,13	0,84	1,97	1,05	1,89
vs Ceará	33	27,2	54.5	38	418	3.420	38.0	40	29	38	2	2	71	3	1,05	0,76	1,82	1,00	1,76
vs Chapecoense	36	27,3	53.8	38	418	3.420	38.0	51	36	45	6	10	86	3	1,34	0,95	2,29	1,18	2,13
vs Corinthians	33	27,4	48.1	38	418	3.420	38.0	34	22	29	5	7	98	6	0,89	0,58	1,47	0,76	1,34
vs Cruzeiro	35	27,3	47.1	38	418	3.420	38.0	46	30	42	4	7	70	6	1,21	0,79	2,00	1,11	1,89
vs CSA	40	27,2	59.7	38	418	3.420	38.0	55	42	53	2	5	69	6	1,45	1,11	2,55	1,39	2,50
vs Flamengo	37	27,4	39.6	38	418	3.420	38.0	36	24	30	6	6	87	9	0,95	0,63	1,58	0,79	1,42
vs Fluminense	39	27,5	42.6	38	418	3.420	38.0	46	31	42	4	4	95	3	1,21	0,82	2,03	1,11	1,92
vs Fortaleza	32	27,3	54.6	38	418	3.420	38.0	47	33	42	5	7	94	7	1,24	0,87	2,11	1,11	1,97
vs Goiás	39	27,3	58.1	38	418	3.420	38.0	63	48	60	3	6	85	6	1,66	1,26	2,92	1,58	2,84
vs Grêmio	40	27,6	42.0	38	418	3.420	38.0	36	17	27	9	9	90	7	0,95	0,45	1,39	0,71	1,16
vs Internacional	38	27,6	46.4	38	418	3.420	38.0	38	24	34	4	5	79	4	1,00	0,63	1,63	0,89	1,53
vs Palmeiras	35	27,5	47.9	38	418	3.420	38.0	31	16	24	7	8	100	3	0,82	0,42	1,24	0,63	1,05
vs Santos	30	27,7	43.6	38	418	3.420	38.0	32	22	30	2	3	111	6	0,84	0,58	1,42	0,79	1,37
vs São Paulo	37	27,5	45.0	38	418	3.420	38.0	28	16	24	4	4	87	1	0,74	0,42	1,16	0,63	1,05
vs Vasco da Gama	39	27,6	55.8	38	418	3.420	38.0	42	28	38	4	4	92	7	1,11	0,74	1,84	1,00	1,74
