Equipe	# J	Idade	Posse	MP	Inícios	Min.	90s	Gols	Assis.	G-PB	PB	PT	CrtsA	CrtV	Gols	Assis.	G+A	G-PB	G+A-PB
vs Atl Goianiense	32	26,8		38	418	3.420	38.0	35	23	32	3	4	81	1	0,92	0,61	1,53	0,84	1,45
vs Avaí	37	26,8		38	418	3.420	38.0	34	25	30	4	5	102	7	0,89	0,66	1,55	0,79	1,45
vs Bahia	34	26,9		38	418	3.420	38.0	34	22	33	1	5	95	9	0,89	0,58	1,47	0,87	1,45
vs Bragantino	58	26,6		38	418	3.420	38.0	52	42	46	6	8	91	6	1,37	1,11	2,47	1,21	2,32
vs Brasil (RS)	26	26,7		38	418	3.420	38.0	36	27	35	1	2	97	4	0,95	0,71	1,66	0,92	1,63
vs Ceará	39	26,6		38	418	3.420	38.0	45	29	38	7	8	105	7	1,18	0,76	1,95	1,00	1,76
vs CRB	35	26,8		38	418	3.420	38.0	53	31	48	5	7	115	6	1,39	0,82	2,21	1,26	2,08
vs Criciúma	35	26,9		38	418	3.420	38.0	45	34	42	3	6	125	12	1,18	0,89	2,08	1,11	2,00
vs Goiás	41	26,9		38	418	3.420	38.0	46	34	43	3	6	101	7	1,21	0,89	2,11	1,13	2,03
vs Joinville	48	26,7		38	419	3.420	38.0	42	30	38	4	4	84	7	1,11	0,79	1,89	1,00	1,79
vs Londrina	39	26,8		38	418	3.420	38.0	28	17	25	3	3	102	8	0,74	0,45	1,18	0,66	1,11
vs Luverdense	37	26,8		38	418	3.420	38.0	38	26	35	3	3	74	1	1,00	0,68	1,68	0,92	1,61
vs Náutico	44	26,9		38	418	3.420	38.0	43	32	39	4	5	97	11	1,13	0,84	1,97	1,03	1,87
vs Oeste	40	26,9		38	418	3.420	38.0	43	29	40	3	4	86	4	1,13	0,76	1,89	1,05	1,82
vs Paraná	41	26,7		38	418	3.420	38.0	55	39	52	3	3	102	6	1,45	1,03	2,47	1,37	2,39
vs Paysandu	38	26,8		38	418	3.420	38.0	44	30	38	6	7	92	2	1,16	0,79	1,95	1,00	1,79
vs Sampaio Corrêa	58	26,6		38	418	3.420	38.0	57	37	50	7	7	82	4	1,50	0,97	2,47	1,32	2,29
vs Tupi FC	36	26,7		38	418	3.420	38.0	55	48	53	2	2	61	3	1,45	1,26	2,71	1,39	2,66
vs Vasco da Gama	34	26,6		38	418	3.420	38.0	39	29	37	2	4	106	6	1,03	0,76	1,79	0,97	1,74
vs Vila Nova	43	26,6		38	418	3.420	38.0	51	36	47	4	7	114	10	1,34	0,95	2,29	1,24	2,18
